title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
The Road,6.998,3460,2009-11-25,27635305,111,32000000,24.262,"['Adventure', 'Drama']",4,120.0,0.571814146754489,0.4574513,0.5718141,0.4574513
Congo,5.487,786,1995-06-09,152022101,109,50000000,21.668,"['Action', 'Adventure', 'Science Fiction']",4,120.0,0.5291760898051663,0.4233409,0.5291761,0.2116704
Damnation Alley,4.953,86,1977-09-10,8720000,91,17000000,7.929,"['Action', 'Adventure', 'Science Fiction']",4,120.0,0.0884286751856461,0.0707429,0.0884287,0.0353715
The Father,8.152,2781,2020-12-23,21029340,96,6000000,51.482,['Drama'],4,120.0,0.8276029482299839,0.3310412,0.8276029,0.8276029
Wild Child,6.721,1759,2008-08-15,21972336,98,20000000,23.207,"['Comedy', 'Drama', 'Romance']",4,120.0,0.5551950265983787,0.333117,0.555195,0.555195
It's Always Fair Weather,7.155,58,1955-08-30,2374000,102,2771000,6.413,"['Comedy', 'Music', 'Romance']",4,120.0,1e-06,8e-07,8e-07,1e-06
Big George Foreman,7.7,128,2023-04-27,3800000,129,32000000,68.121,"['Drama', 'History']",5,150.0,0.9121495492347338,0.3648598,0.9121495,0.9121495
Flushed Away,6.265,3488,2006-10-22,178120010,84,149000000,39.742,"['Adventure', 'Animation', 'Comedy', 'Family']",3,90.0,0.744650894824386,0.7446509,0.4467905,0.4467905
2 Guns,6.532,3824,2013-08-02,131940411,109,61000000,26.88,"['Action', 'Comedy', 'Crime']",4,120.0,0.6094254972645146,0.4875404,0.6094255,0.4875404
Justin Bieber: Never Say Never,5.204,375,2011-02-11,98441954,105,13000000,10.905,"['Music', 'Documentary', 'Family']",4,120.0,0.2414254708500723,0.1931404,0.0965702,0.2414255
Children of the Corn,5.69,892,1984-03-09,14568989,92,800000,22.323,"['Horror', 'Thriller']",4,120.0,0.5405242094077057,0.2162097,0.5405242,0.2162097
