title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
Return to Me,6.577,392,2000-04-07,36609995,115,24000000,10.816,"['Romance', 'Comedy']",4,120.0,0.237659224827525,0.1901274,0.2376592,0.2376592
The Beguiled,5.896,2016,2017-06-23,27397655,93,10500000,15.376,['Drama'],4,120.0,0.3919819739948041,0.1567928,0.391982,0.391982
Trespass,6.273,163,1992-12-25,13249535,101,14000000,10.855,"['Action', 'Thriller', 'Crime']",4,120.0,0.2393144529040924,0.1435887,0.2393145,0.1435887
Adaptation.,7.369,2244,2002-12-06,32801173,115,19000000,15.59,"['Comedy', 'Crime', 'Drama']",4,120.0,0.397751749328179,0.238651,0.3977517,0.3977517
Air,7.385,1384,2023-04-05,87078875,112,90000000,38.283,"['Drama', 'History']",4,120.0,0.7322516703458266,0.2929007,0.7322517,0.7322517
Alex & Emma,5.31,189,2003-06-20,15368897,96,30000000,8.173,"['Comedy', 'Romance']",4,120.0,0.1035756136847964,0.0828605,0.1035756,0.1035756
A Goofy Movie,6.981,1592,1995-04-07,35348597,78,18000000,20.923,"['Romance', 'Animation', 'Family', 'Comedy', 'Adventure']",3,90.0,0.5157337921262541,0.412587,0.412587,0.412587
Come Play,6.408,576,2020-10-28,8119285,96,9000000,19.343,"['Horror', 'Mystery', 'Thriller']",4,120.0,0.4851249111382543,0.19405,0.4851249,0.2910749
Insidious,6.947,6298,2011-03-31,99870886,103,1500000,40.882,"['Horror', 'Thriller']",4,120.0,0.7539552094843602,0.3015821,0.7539552,0.3015821
Keeping Up with the Joneses,6.1,1878,2016-10-20,29918745,105,40000000,14.168,"['Action', 'Comedy']",4,120.0,0.3573870770462878,0.3573871,0.3573871,0.2859097
Luther,6.406,287,2003-10-29,29413900,123,30000000,12.419,"['Drama', 'History']",5,150.0,0.3000523744260512,0.1200209,0.3000524,0.3000524
Ella Enchanted,6.442,1699,2004-04-09,27388767,96,31000000,24.654,"['Family', 'Fantasy', 'Comedy']",4,120.0,0.5777604538658493,0.5777605,0.4622084,0.4622084
"What's Up, Doc?",7.296,329,1972-03-09,66000000,94,4000000,11.399,"['Comedy', 'Romance']",4,120.0,0.2616402438144583,0.2093122,0.2616402,0.2616402
The Mummy,5.507,6741,2017-06-06,409231607,110,125000000,21.893,"['Fantasy', 'Thriller', 'Action', 'Adventure', 'Horror']",4,120.0,0.5331222397861063,0.4264978,0.5331222,0.2132489
Spice World,4.757,424,1997-12-18,100000000,93,25000000,9.483,"['Adventure', 'Fantasy', 'Drama', 'Comedy', 'Music']",4,120.0,0.1760254965869557,0.1408204,0.1408204,0.1408204
Sex Tape,5.405,3874,2014-07-17,126069509,97,40000000,40.978,['Comedy'],4,120.0,0.7547241231182586,0.7547241,0.7547241,0.7547241
La La Land,7.897,15625,2016-11-29,447407695,129,30000000,32.009,"['Comedy', 'Drama', 'Romance', 'Music']",5,150.0,0.6713840378836017,0.5371072,0.5371072,0.671384
Breach,6.605,523,2007-02-12,40953935,110,23000000,15.012,"['Drama', 'Thriller', 'Crime', 'History']",4,120.0,0.3819305574255079,0.1527722,0.3819306,0.3055444
The Loft,6.414,1354,2014-10-14,10076790,108,14000000,27.317,['Thriller'],4,120.0,0.6152583461452867,0.2461033,0.6152583,0.2461033
Diary of a Wimpy Kid: The Long Haul,5.311,417,2017-05-19,40120144,91,22000000,15.58,"['Comedy', 'Family']",4,120.0,0.3974843712966343,0.3974844,0.3179875,0.3974844
What Happened to Monday,7.17,5687,2017-08-18,27975429,123,20000000,39.927,"['Science Fiction', 'Thriller', 'Drama', 'Mystery', 'Action']",5,150.0,0.7461829861559339,0.4477098,0.746183,0.4477098
Grosse Pointe Blank,6.94,797,1997-04-11,31070412,107,15000000,22.003,"['Action', 'Comedy', 'Thriller', 'Romance']",4,120.0,0.5350330068631416,0.4280264,0.535033,0.4280264
The Other Side of Heaven,6.209,54,2001-04-12,4720371,113,7000000,7.85,"['Action', 'Adventure', 'Drama', 'Family']",4,120.0,0.0833958805863736,0.0667167,0.0667167,0.0500375
Out of Sight,6.676,1125,1998-06-26,77745966,123,48000000,15.685,"['Romance', 'Comedy', 'Crime']",5,150.0,0.4002810641959451,0.2401686,0.4002811,0.4002811
Don't Say a Word,6.213,826,2001-09-28,100020092,113,50000000,18.256,"['Thriller', 'Mystery']",4,120.0,0.4621784393741345,0.1848714,0.4621784,0.3697428
A Beautiful Mind,7.851,9475,2001-12-11,316800000,135,58000000,36.253,"['Drama', 'Romance']",5,150.0,0.7139951876166739,0.2855981,0.7139952,0.7139952
"sex, lies, and videotape",6.938,796,1989-08-04,24741667,101,1200000,23.698,['Drama'],4,120.0,0.5630447100247831,0.2252179,0.5630447,0.5630447
A Lonely Place to Die,6.171,524,2011-04-09,25345000,99,4000000,12.728,"['Adventure', 'Action', 'Thriller', 'Crime']",4,120.0,0.3109028952945193,0.2487223,0.3109029,0.1865417
Surveillance,5.955,300,2008-02-08,1138322,97,3500000,8.881,"['Horror', 'Thriller', 'Mystery']",4,120.0,0.1444355766553168,0.0577742,0.1444356,0.0866613
The American President,6.579,642,1995-11-17,107879496,114,62000000,18.397,"['Comedy', 'Drama', 'Romance']",4,120.0,0.4652508194454628,0.2791505,0.4652508,0.4652508
Slackers,5.13,173,2002-02-01,6413915,86,14000000,7.037,"['Comedy', 'Romance']",3,90.0,0.0275045991328237,0.0220037,0.0275046,0.0275046
The House Bunny,5.649,1783,2008-08-22,70442940,97,25000000,26.66,"['Romance', 'Comedy']",4,120.0,0.6064441452760878,0.4851553,0.6064441,0.6064441
Earth Girls Are Easy,5.62,333,1988-09-08,3916303,100,10000000,15.47,"['Comedy', 'Science Fiction']",4,120.0,0.3945288012815856,0.315623,0.3945288,0.315623
Elephant,7.076,1730,2003-09-20,10012022,81,3000000,14.862,"['Crime', 'Drama']",3,90.0,0.3776982524744276,0.1510793,0.3776983,0.3776983
Hunt for the Wilderpeople,7.689,1854,2016-03-31,23915910,101,2500000,15.889,"['Adventure', 'Comedy', 'Drama']",4,120.0,0.4056475201688923,0.324518,0.4056475,0.324518
Die Another Day,5.963,3197,2002-11-17,431971116,133,140000000,28.423,"['Adventure', 'Action', 'Thriller']",5,150.0,0.6295156413488077,0.5036125,0.6295156,0.2518063
Shadow Conspiracy,4.9,77,1997-01-25,2154540,103,45000000,6.517,['Thriller'],4,120.0,1e-06,4e-07,1e-06,4e-07
The King of Comedy,7.8,2015,1982-12-18,2536000,109,19000000,21.491,"['Drama', 'Comedy']",4,120.0,0.5260354927932529,0.4208284,0.5260355,0.5260355
A Nightmare on Elm Street 3: Dream Warriors,6.672,1560,1987-02-27,44800000,96,4000000,17.767,"['Horror', 'Thriller']",4,120.0,0.4512868649102258,0.1805147,0.4512869,0.1805147
Kung Fu Panda 2,6.968,6365,2011-05-25,665692281,91,150000000,52.793,"['Animation', 'Family']",4,120.0,0.8354077069451369,0.8354077,0.3341631,0.3341631
Into the Storm,6.036,1891,2014-08-06,160602194,89,50000000,25.722,"['Action', 'Thriller']",3,90.0,0.5933795345816526,0.4747036,0.5933795,0.2373518
Life,6.639,687,1999-04-16,73521587,108,80000000,20.541,"['Comedy', 'Crime']",4,120.0,0.5086060029352835,0.4068848,0.508606,0.508606
Boss Level,6.882,1364,2021-02-19,2000000,94,45000000,30.218,"['Action', 'Science Fiction', 'Thriller']",4,120.0,0.6512449604098858,0.390747,0.651245,0.260498
Fierce Creatures,6.135,311,1997-01-23,9381260,93,25000000,14.718,"['Comedy', 'Romance']",4,120.0,0.3735840044527442,0.2988672,0.373584,0.373584
Run All Night,6.404,2632,2015-03-11,71561644,114,50000000,25.445,"['Action', 'Crime', 'Thriller']",4,120.0,0.5894073422999528,0.3536444,0.5894073,0.3536444
Rings,4.966,2375,2017-02-01,83080890,102,25000000,24.584,['Horror'],4,120.0,0.5767073151395914,0.2306829,0.5767073,0.2306829
Bachelorette,5.418,1140,2012-01-23,11947954,87,3000000,14.631,"['Comedy', 'Romance']",3,90.0,0.3710735088056668,0.2968588,0.3710735,0.3710735
Click,6.3,6518,2006-06-23,240685326,107,82500000,34.068,"['Comedy', 'Drama', 'Fantasy']",4,120.0,0.6928775257722786,0.554302,0.6928775,0.554302
Wall Street,7.17,1848,1987-12-10,43848069,126,15000000,16.869,"['Crime', 'Drama']",5,150.0,0.4302650650950864,0.172106,0.4302651,0.4302651
Johnny English,6.261,3140,2003-03-14,160583018,88,40000000,15.789,"['Adventure', 'Action', 'Comedy']",3,90.0,0.4030278660549902,0.4030279,0.4030279,0.2418167
Corky Romano,4.235,149,2001-10-12,23978402,86,11000000,8.517,"['Action', 'Comedy', 'Crime']",3,90.0,0.1239722341182316,0.0991778,0.1239722,0.0991778
Idle Hands,6.131,586,1999-04-30,4152230,92,25000000,15.917,"['Comedy', 'Horror', 'Fantasy']",4,120.0,0.4063772879095671,0.3251018,0.4063773,0.2438264
Twixt,4.952,248,2011-09-30,1300000,89,7000000,7.746,"['Mystery', 'Fantasy', 'Horror']",3,90.0,0.0766704385041301,0.0460023,0.0766704,0.0460023
Thank You for Your Service,6.512,326,2017-10-26,9438370,109,20000000,13.722,"['Drama', 'War']",4,120.0,0.3436556902547929,0.1374623,0.2749246,0.3436557
The Devil's Rejects,6.737,1278,2005-07-22,20901859,107,7000000,18.982,"['Drama', 'Horror', 'Crime']",4,120.0,0.4776881910276202,0.1910753,0.4776882,0.3821506
Two Brothers,7.134,773,2004-04-07,62172050,109,74500000,15.808,"['Adventure', 'Drama', 'Family']",4,120.0,0.4035272127950989,0.3228218,0.3228218,0.3228218
Silent Rage,6.049,144,1982-04-02,10500000,103,4500000,13.378,"['Action', 'Horror', 'Science Fiction', 'Romance']",4,120.0,0.3326716640281473,0.199603,0.3326717,0.199603
Black Christmas,5.168,482,2006-12-15,21510851,95,9000000,12.605,"['Horror', 'Thriller', 'Mystery']",4,120.0,0.306624323453461,0.1226497,0.3066243,0.1839746
The Nutcracker and the Four Realms,6.079,1991,2018-10-26,59522646,99,120000000,16.937,"['Fantasy', 'Adventure', 'Family']",4,120.0,0.4319058878430366,0.4319059,0.3455247,0.1727624
Conan the Barbarian,6.79,2246,1982-04-02,79114085,129,20000000,30.951,"['Adventure', 'Fantasy', 'Action']",5,150.0,0.659661856523335,0.6596619,0.6596619,0.2638647
The Mummy: Tomb of the Dragon Emperor,5.469,4121,2008-07-01,403449830,112,145000000,34.964,"['Adventure', 'Action', 'Fantasy']",4,120.0,0.7017343215314894,0.7017343,0.7017343,0.2806937
Robin Hood,6.4,4264,2010-05-12,321669741,140,200000000,29.599,"['Action', 'Adventure', 'Drama']",5,180.0,0.643937167016744,0.5151497,0.6439372,0.3863623
Michael Collins,6.912,420,1996-10-25,16900000,132,25000000,11.021,"['War', 'Drama', 'Thriller', 'History']",5,150.0,0.2462758172041671,0.0985103,0.1970207,0.1970207
Around the World in Eighty Days,6.7,442,1956-10-17,42000000,182,6000000,15.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Romance']",7,210.0,0.3815939482934791,0.3052752,0.3052752,0.3052752
Muppet Treasure Island,6.634,351,1996-02-16,34327391,100,31000000,14.439,"['Action', 'Comedy', 'Music', 'Family', 'Adventure', 'Romance']",4,120.0,0.3654655150249772,0.2923724,0.2923724,0.2923724
Grudge Match,6.07,1187,2013-12-25,44907260,113,40000000,17.764,['Comedy'],4,120.0,0.4512188826449085,0.4512189,0.4512189,0.4512189
Evan Almighty,5.551,3948,2007-06-09,174440724,96,175000000,29.604,"['Fantasy', 'Comedy', 'Family']",4,120.0,0.6439969546577816,0.643997,0.5151976,0.5151976
Swimfan,5.288,240,2002-09-06,34411240,84,8500000,11.632,"['Thriller', 'Mystery']",3,90.0,0.2707908997731013,0.1083164,0.2707909,0.2166327
Stir of Echoes,6.669,1088,1999-09-10,21133087,99,12000000,15.653,"['Horror', 'Mystery', 'Thriller']",4,120.0,0.3994312546634156,0.1597725,0.3994313,0.2396588
Topaz,6.0,339,1969-12-17,6000000,127,4000000,12.012,"['Drama', 'Thriller']",5,150.0,0.2852244962594505,0.1140898,0.2852245,0.2281796
Fast & Furious Presents: Hobbs & Shaw,6.867,6618,2019-08-01,760098996,137,200000000,70.691,"['Action', 'Adventure', 'Comedy']",5,150.0,0.9229531838254196,0.9229532,0.9229532,0.5537719
Rumble Fish,6.976,600,1983-10-09,2494480,94,10000000,15.191,"['Crime', 'Drama']",4,120.0,0.3869115399444651,0.1547646,0.3869115,0.3869115
Girls Trip,6.838,1418,2017-07-21,140376621,122,19000000,15.72,['Comedy'],5,150.0,0.4012080349517821,0.401208,0.401208,0.401208
She's the Man,6.794,2767,2006-03-17,33889159,105,20000000,20.665,"['Comedy', 'Romance']",4,120.0,0.5109378594998653,0.4087503,0.5109379,0.5109379
A Low Down Dirty Shame,5.663,95,1994-11-23,29392418,100,10000000,8.465,"['Comedy', 'Crime']",4,120.0,0.1209574393053944,0.096766,0.1209574,0.1209574
Flipper,5.51,291,1996-05-17,20080020,95,25530000,9.75,"['Adventure', 'Family']",4,120.0,0.1892256155499156,0.1892256,0.0756902,0.0756902
Tales from the Darkside: The Movie,6.201,334,1990-05-03,16324573,93,3500000,18.11,"['Thriller', 'Comedy', 'Fantasy', 'Horror']",4,120.0,0.4589654336814902,0.3671723,0.4589654,0.2753793
Heartburn,5.997,173,1986-07-25,52600000,108,15000000,9.396,"['Comedy', 'Drama', 'Romance']",4,120.0,0.1716212442623856,0.1029727,0.1716212,0.1716212
The Thomas Crown Affair,6.85,431,1968-06-26,14000000,102,4300000,16.695,"['Crime', 'Romance']",4,120.0,0.4260281721155902,0.1704113,0.4260282,0.4260282
Japanese Story,6.377,65,2003-08-30,4098613,110,5740000,8.797,"['Drama', 'Romance']",4,120.0,0.1398098259790137,0.0559239,0.1398098,0.1398098
The Sword in the Stone,7.248,3554,1963-12-25,22182353,79,3000000,32.576,"['Animation', 'Family']",3,90.0,0.6774701708740768,0.6774702,0.2709881,0.2709881
Drop Dead Gorgeous,6.429,331,1999-07-23,10571408,98,10000000,13.22,['Comedy'],4,120.0,0.3275057281385801,0.3275057,0.3275057,0.3275057
Deadpool,7.606,28894,2016-02-09,783100000,108,58000000,72.735,"['Action', 'Adventure', 'Comedy']",4,120.0,0.9312115485059688,0.9312115,0.9312115,0.5587269
The 5th Wave,5.946,5479,2016-01-14,109906372,112,38000000,26.968,"['Science Fiction', 'Adventure', 'Action']",4,120.0,0.6106095345853049,0.4884876,0.6106095,0.2442438
Annette,6.765,608,2021-07-06,3642692,140,15500000,10.471,"['Drama', 'Romance']",5,180.0,0.2226768905850557,0.0890708,0.2226769,0.2226769
Bride of Chucky,6.0,1695,1998-10-16,50671850,89,25000000,45.827,"['Comedy', 'Horror']",3,90.0,0.7909121988213912,0.6327298,0.7909122,0.6327298
Smilla's Sense of Snow,6.333,209,1997-02-28,2372903,121,35000000,11.64,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",5,150.0,0.2711009287406923,0.1626606,0.2711009,0.2168807
Cheaper by the Dozen,6.278,2597,2003-12-24,190212113,98,40000000,18.285,"['Comedy', 'Family']",4,120.0,0.4628127847444051,0.4628128,0.3702502,0.4628128
Cosmopolis,5.719,1142,2012-05-25,6063556,109,20500000,13.233,['Drama'],4,120.0,0.3279337288983407,0.1311735,0.3279337,0.3279337
Beaches,6.658,234,1988-12-21,57041866,123,20000000,13.376,"['Comedy', 'Drama']",5,150.0,0.3326067575997638,0.2660854,0.3326068,0.3326068
Marriage Story,7.753,6478,2019-09-28,2300000,137,18000000,16.594,['Drama'],5,150.0,0.4235431539638749,0.1694173,0.4235432,0.4235432
J. Edgar,6.21,2262,2011-11-09,84606030,137,35000000,13.314,"['Drama', 'Crime', 'History']",5,150.0,0.3305885213264468,0.1322354,0.3305885,0.3305885
Terminator Salvation,6.0,6009,2009-05-20,371353001,115,200000000,40.434,"['Action', 'Science Fiction', 'Thriller']",4,120.0,0.7503373296255954,0.4502024,0.7503373,0.3001349
Tarzan,7.402,6238,1999-06-18,448191819,88,130000000,72.359,"['Family', 'Adventure', 'Animation', 'Drama']",3,90.0,0.92971363870576,0.7437709,0.5578282,0.5578282
The Holiday,7.078,4592,2006-12-08,194168700,136,85000000,19.822,"['Comedy', 'Romance']",5,150.0,0.4947272117706643,0.3957818,0.4947272,0.4947272
Backdraft,6.638,1267,1991-05-24,152368585,137,75000000,17.068,"['Crime', 'Drama', 'Thriller', 'Action']",5,150.0,0.4350435591691313,0.2610261,0.4350436,0.3480348
Captain Phillips,7.552,6424,2013-10-10,218791811,134,55000000,24.668,"['Action', 'Drama', 'Thriller']",5,150.0,0.577970633286233,0.3467824,0.5779706,0.3467824
Ocean's Thirteen,6.72,5859,2007-06-05,311312624,122,85000000,31.629,"['Crime', 'Thriller']",5,150.0,0.6672298441290645,0.2668919,0.6672298,0.5337839
Anna,6.503,565,2013-10-13,1200000,99,4357373,17.714,"['Thriller', 'Drama']",4,120.0,0.4500837086057802,0.1800335,0.4500837,0.360067
The DUFF,6.8,4211,2015-02-20,43528634,100,8500000,11.04,"['Romance', 'Comedy']",4,120.0,0.2470640619886714,0.1976512,0.2470641,0.2470641
Eagle Eye,6.448,2629,2008-09-25,178800000,118,80000000,38.967,"['Mystery', 'Thriller', 'Action']",4,150.0,0.7381358279341641,0.4428815,0.7381358,0.4428815
5 Flights Up,5.973,283,2014-09-05,1020921,92,6000000,10.906,['Drama'],4,120.0,0.2414675651490423,0.096587,0.2414676,0.2414676
Blacklight,6.226,950,2022-02-10,15902207,104,43000000,49.396,"['Action', 'Thriller']",4,120.0,0.8146697298503894,0.6517358,0.8146697,0.3258679
Girl 6,4.995,98,1996-03-22,4939939,108,12000000,7.613,"['Comedy', 'Drama']",4,120.0,0.0678987938580536,0.054319,0.0678988,0.0678988
The Pope's Exorcist,7.144,1971,2023-04-05,70204828,103,18000000,196.08,"['Horror', 'Thriller']",4,120.0,1.0,0.4,1.0,0.4
Sea of Love,6.605,553,1989-09-15,110879513,113,19000000,12.452,"['Crime', 'Drama', 'Romance', 'Mystery', 'Thriller']",4,120.0,0.3012274698680877,0.120491,0.3012275,0.240982
Fast & Furious,6.68,6702,2009-04-02,363164265,107,85000000,7.716,"['Action', 'Crime', 'Drama', 'Thriller']",4,120.0,0.0747088418203088,0.0448253,0.0747088,0.0597671
Salvador,7.0,306,1986-04-23,1500000,123,4500000,9.389,"['Drama', 'War', 'Thriller']",5,150.0,0.1712646119566439,0.0685058,0.1370117,0.1370117
Hombre,7.041,185,1967-03-21,12000000,111,5860000,17.378,['Western'],4,120.0,0.4423490066211804,0.1769396,0.1769396,0.442349
Now and Then,6.891,385,1995-10-20,27400000,100,12000000,15.266,"['Comedy', 'Drama', 'Romance']",4,120.0,0.3889764963106484,0.2333859,0.3889765,0.3889765
Caligula,5.99,729,1979-08-14,23438120,156,17500000,140.9,"['Drama', 'History', 'Romance']",6,180.0,1.0,0.4,1.0,1.0
ATL,6.954,140,2006-03-31,21170563,105,20000000,12.331,"['Drama', 'Comedy', 'Mystery']",4,120.0,0.2968992601543795,0.1781396,0.2968993,0.2968993
Hidden 3D,3.2,54,2011-04-21,1670477,82,8000000,3.673,"['Horror', 'Thriller']",3,90.0,1e-06,4e-07,1e-06,4e-07
Pleasantville,7.243,1526,1998-09-17,49805462,124,60000000,15.453,"['Fantasy', 'Comedy', 'Drama']",5,150.0,0.3940696582433383,0.3152557,0.3940697,0.3152557
Fortress,6.06,588,1992-09-30,6739141,95,8000000,12.996,"['Action', 'Thriller', 'Science Fiction']",4,120.0,0.3200458475620406,0.1920275,0.3200458,0.1280183
Carrie,7.3,3415,1976-11-03,25878153,98,1800000,25.558,"['Horror', 'Thriller']",4,120.0,0.5910342547885827,0.2364137,0.5910343,0.2364137
Shark Night 3D,4.904,478,2011-09-02,10126458,91,28000000,16.38,"['Thriller', 'Horror']",4,120.0,0.4182141467293367,0.1672857,0.4182141,0.1672857
The Book of Life,7.533,2444,2014-10-01,97437106,95,50000000,46.433,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",4,120.0,0.7951028442072523,0.7951028,0.6360823,0.4770617
Private Benjamin,5.956,339,1980-10-06,69800000,110,15000000,9.222,['Comedy'],4,120.0,0.1626541017506506,0.1626541,0.1626541,0.1626541
Nothing in Common,5.741,106,1986-07-29,32324557,118,12000000,10.837,"['Drama', 'Comedy', 'Romance']",4,150.0,0.2385514462705379,0.1431309,0.2385514,0.2385514
It,7.242,18018,2017-09-06,701800000,135,40000000,74.73,"['Horror', 'Fantasy']",5,150.0,0.939005538740771,0.7512044,0.9390055,0.3756022
The Ice Pirates,5.635,159,1984-03-16,14250000,91,9000000,11.772,"['Science Fiction', 'Action', 'Adventure', 'Comedy']",4,120.0,0.2761775343254989,0.220942,0.2761775,0.1657065
Richard Jewell,7.43,2278,2019-12-13,33904605,131,45000000,16.924,"['Drama', 'Crime']",5,150.0,0.4315928450458706,0.1726371,0.4315928,0.4315928
Hop,5.727,1121,2011-03-30,183953723,95,63000000,16.202,"['Animation', 'Comedy', 'Family']",4,120.0,0.4137141239460307,0.4137141,0.2482285,0.3309713
Dreamcatcher,5.573,1607,2003-03-21,75700000,136,68000000,28.294,"['Drama', 'Horror', 'Science Fiction', 'Thriller']",5,150.0,0.6278885961668698,0.2511554,0.6278886,0.3767332
The Express,7.132,243,2008-10-10,9793496,130,40000000,15.35,['Drama'],5,150.0,0.3912740505214244,0.1565096,0.3912741,0.3912741
Now You See Me,7.345,14726,2013-05-29,351723989,116,75000000,45.241,"['Thriller', 'Crime']",4,150.0,0.7867947127245531,0.3147179,0.7867947,0.6294358
The Boss Baby,6.451,6682,2017-03-23,527965936,97,125000000,14.391,"['Animation', 'Comedy', 'Family']",4,120.0,0.3640487293870093,0.3640487,0.2184292,0.291239
Dumb and Dumber,6.606,5615,1994-12-16,247275374,107,16000000,34.591,['Comedy'],4,120.0,0.6980817829183545,0.6980818,0.6980818,0.6980818
Taras Bulba,6.262,63,1962-11-21,4000000,119,7000000,11.378,"['Adventure', 'Romance', 'History', 'War', 'Drama']",4,150.0,0.2608038046991567,0.1564823,0.208643,0.208643
Teen Titans Go! To the Movies,7.351,1034,2018-07-27,28646544,84,10000000,19.174,"['Animation', 'Action', 'Comedy', 'Science Fiction']",3,90.0,0.4816653963795956,0.3853323,0.3853323,0.2889992
The Young Victoria,7.205,943,2009-03-04,29196409,105,35000000,16.338,"['Drama', 'History', 'Romance']",4,120.0,0.4171579340256299,0.1668632,0.4171579,0.4171579
Tower Heist,6.07,2720,2011-11-02,152930623,104,75000000,26.594,"['Action', 'Comedy']",4,120.0,0.6055437545311015,0.6055438,0.6055438,0.484435
Se7en,8.368,19403,1995-09-22,327311859,127,33000000,53.521,"['Crime', 'Mystery', 'Thriller']",5,150.0,0.8396401773545525,0.3358561,0.8396402,0.6717121
Dante's Peak,6.176,1693,1997-02-07,178127760,108,116000000,24.966,"['Action', 'Adventure', 'Drama', 'Thriller']",4,120.0,0.5824094202163412,0.4659275,0.5824094,0.3494457
The Bone Collector,6.778,3179,1999-11-04,151493655,118,73000000,23.939,"['Drama', 'Mystery', 'Thriller', 'Crime']",4,150.0,0.5668235345314596,0.2267294,0.5668235,0.4534588
Defiance,6.831,1594,2008-12-31,51155219,137,32000000,56.439,"['Action', 'Drama', 'History', 'War']",5,150.0,0.8559258751825098,0.5135555,0.6847407,0.6847407
In the Cut,5.15,381,2003-10-22,23726793,119,12000000,18.023,"['Drama', 'Mystery', 'Thriller']",4,150.0,0.4570352685094435,0.1828141,0.4570353,0.3656282
Going in Style,6.689,2569,2017-04-06,84618541,96,25000000,23.48,"['Crime', 'Comedy']",4,120.0,0.5595848753088908,0.4476679,0.5595849,0.5595849
30 Days of Night,6.4,2511,2007-10-17,75505973,113,30000000,24.119,"['Horror', 'Thriller']",4,120.0,0.5696149911468916,0.227846,0.569615,0.227846
Ladder 49,6.404,706,2004-10-01,74541707,115,60000000,18.585,"['Drama', 'Action', 'Thriller']",4,120.0,0.4693014831268352,0.2815809,0.4693015,0.2815809
The House with a Clock in Its Walls,6.2,2009,2018-09-15,131523093,105,42000000,18.083,"['Fantasy', 'Family', 'Comedy']",4,120.0,0.4583676699572597,0.4583677,0.3666941,0.3666941
The Thirteenth Floor,7.023,1163,1999-04-16,18564088,101,16000000,17.974,"['Thriller', 'Science Fiction', 'Mystery']",4,120.0,0.4559429856347479,0.1823772,0.455943,0.2735658
Jersey Boys,6.788,644,2014-06-18,67347013,134,40000000,13.329,"['Music', 'Drama']",5,150.0,0.3310778977282459,0.2648623,0.2648623,0.3310779
Something Wicked This Way Comes,6.346,156,1983-04-29,8400000,95,20000000,9.026,"['Fantasy', 'Mystery', 'Horror']",4,120.0,0.1522901032550051,0.0913741,0.1522901,0.0913741
The Clan of the Cave Bear,5.1,107,1986-01-17,1953732,98,15000000,11.998,"['Adventure', 'Drama']",4,120.0,0.2847031016187245,0.2277625,0.2847031,0.2277625
The Island,6.7,4981,2005-07-21,162949164,136,126000000,33.414,"['Action', 'Thriller', 'Science Fiction', 'Adventure']",5,150.0,0.6862288480908239,0.5489831,0.6862288,0.2744915
CODA,7.967,1922,2021-08-11,1600000,112,10000000,27.109,"['Drama', 'Music', 'Romance']",4,120.0,0.6124966826273065,0.367498,0.4899973,0.6124967
21,6.7,4317,2008-03-27,159808370,123,35000000,25.256,"['Drama', 'Crime']",5,150.0,0.5866659626561828,0.2346664,0.586666,0.586666
Get on the Bus,6.652,56,1996-10-16,5731103,120,2400000,4.947,['Drama'],5,150.0,1e-06,4e-07,1e-06,1e-06
Music of the Heart,6.7,194,1999-10-29,14859394,124,27000000,10.531,"['Music', 'Drama']",5,150.0,0.2253274213878964,0.1802619,0.1802619,0.2253274
Elizabeth: The Golden Age,6.714,1134,2007-09-09,74237563,114,55000000,20.958,"['Drama', 'History', 'Romance']",4,120.0,0.516378681730434,0.2065515,0.5163787,0.5163787
Eight Legged Freaks,5.765,1110,2002-07-17,45867333,99,30000000,55.738,"['Action', 'Comedy', 'Horror', 'Thriller']",4,120.0,0.8521087578784019,0.681687,0.8521088,0.5112653
Notes on a Scandal,7.1,798,2006-12-25,49814392,92,15000000,13.806,"['Drama', 'Romance']",4,120.0,0.3462848017034086,0.1385139,0.3462848,0.3462848
Hitman: Agent 47,5.83,2812,2015-08-20,81967450,96,35000000,28.424,"['Action', 'Crime', 'Thriller']",4,120.0,0.6295282181923061,0.3777169,0.6295282,0.3777169
The Enforcer,6.8,783,1976-12-16,46236000,96,9000000,16.925,"['Crime', 'Action']",4,120.0,0.4316169360405347,0.3452935,0.4316169,0.3452935
Home Alone 2: Lost in New York,6.705,8671,1992-11-19,358994850,120,18000000,40.283,"['Comedy', 'Family', 'Adventure']",5,150.0,0.749106776191504,0.7491068,0.5992854,0.5992854
28 Weeks Later,6.583,3883,2007-04-26,65048678,100,15000000,40.628,"['Horror', 'Thriller', 'Science Fiction']",4,120.0,0.7519100277597707,0.300764,0.75191,0.300764
Maniac,6.42,375,1980-11-14,10000000,88,350000,12.566,['Horror'],3,90.0,0.3052566002044324,0.1221026,0.3052566,0.1221026
Random Hearts,5.5,332,1999-10-08,74608570,133,64000000,14.714,"['Drama', 'Romance']",5,150.0,0.3734689922756415,0.1493876,0.373469,0.373469
Suspiria,6.936,2280,2018-10-11,6348889,152,20000000,17.531,"['Drama', 'Horror', 'Mystery', 'Fantasy']",6,180.0,0.4458942461990631,0.2675365,0.4458942,0.3567154
A Haunted House,5.871,1706,2013-01-11,60141683,86,2500000,33.048,"['Comedy', 'Horror']",3,90.0,0.6824373109200921,0.5459498,0.6824373,0.5459498
